681,Nutrie samce,Nutrie,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.55,
682,Nutrie samice,Nutrie,2,Płytka ściółka obornik,0.30,0.35,
682,Nutrie samice,Nutrie,3,Płytka ściółka gnojówka,0.45,0.55,
682,Nutrie samice,Nutrie,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.55,
683,Nutrie młode,Nutrie,2,Płytka ściółka obornik,0.30,0.35,
683,Nutrie młode,Nutrie,3,Płytka ściółka gnojówka,0.45,0.55,
683,Nutrie młode,Nutrie,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.55,
684,Króliki samce,Króliki,2,Płytka ściółka obornik,0.30,0.35,
684,Króliki samce,Króliki,3,Płytka ściółka gnojówka,0.45,0.55,
684,Króliki samce,Króliki,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.55,
685,Króliki samice,Króliki,2,Płytka ściółka obornik,0.30,0.35,
685,Króliki samice,Króliki,3,Płytka ściółka gnojówka,0.45,0.55,
685,Króliki samice,Króliki,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.55,
686,Króliki młode,Króliki,2,Płytka ściółka obornik,0.30,0.35,
686,Króliki młode,Króliki,3,Płytka ściółka gnojówka,0.45,0.55,
686,Króliki młode,Króliki,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.55,
687,Szynszyle samce,Szynszyle,1,Głęboka ściółka obornik,0.30,0.35,
687,Szynszyle samce,Szynszyle,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.55,
688,Szynszyle samice,Szynszyle,1,Głęboka ściółka obornik,0.30,0.35,
688,Szynszyle samice,Szynszyle,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.55,
689,Szynszyle młode,Szynszyle,1,Głęboka ściółka obornik,0.30,0.35,
689,Szynszyle młode,Szynszyle,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.55,
690,Byki,Jelenie sika i daniele,1,Głęboka ściółka obornik,0.30,0.35,
691,Łanie,Jelenie sika i daniele,1,Głęboka ściółka obornik,0.30,0.35,
692,Pozostałe,Jelenie sika i daniele,1,Głęboka ściółka obornik,0.30,0.35,
693,Byki,Jelenie szlachetne,1,Głęboka ściółka obornik,0.30,0.35,
694,Łanie,Jelenie szlachetne,1,Głęboka ściółka obornik,0.30,0.35,
695,Pozostałe,Jelenie szlachetne,1,Głęboka ściółka obornik,0.30,0.35,
697,Strusie afrykańskie,Strusie,1,Głęboka ściółka obornik,0.30,0.35,
698,Strusie Emu i Nandu,Strusie,1,Głęboka ściółka obornik,0.30,0.35,
699,Muł powyżej 2 lat,Muł,1,Głęboka ściółka obornik,0.30,0.35,
700,Muł od 1 roku do 2 lat,Muł,1,Głęboka ściółka obornik,0.30,0.35,
701,Muł do 1 roku,Muł,1,Głęboka ściółka obornik,0.30,0.35,
702,Osioł powyżej 2 lat,Osioł,1,Głęboka ściółka obornik,0.30,0.35,
703,Osioł od 1 roku do 2 lat,Osioł,1,Głęboka ściółka obornik,0.30,0.35,
704,Osioł do 1 roku,Osioł,1,Głęboka ściółka obornik,0.30,0.35,
705,Bawół domowy powyżej 2 lat,Bawół domowy,1,Głęboka ściółka obornik,0.30,0.35,
706,Bawół domowy od 1 roku do 2 lat,Bawół domowy,1,Głęboka ściółka obornik,0.30,0.35,
707,Bawół domowy od 6 miesiąca do 1 roku,Bawół domowy,1,Głęboka ściółka obornik,0.30,0.35,
708,Bawół domowy do 6 miesiąca,Bawół domowy,1,Głęboka ściółka obornik,0.30,0.35,
709,Inne zwierzęta o łącznej masie 500 kg z wyłączeniem ryb,Inne zwierzęta o łącznej masie 500 kg z wyłączeniem ryb,1,Głęboka ściółka obornik,0.30,0.35,
710,Fermentacja „mokra”,Produkt pofermentacyjny,4,Bezściółkowo gnojowica/pomiot/odchody,0.60,0.70,
